City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,sao joao da ponte,-15.9292,-44.0078,20.23,85,42,4.3,BR,1693630903
154,kalabo,-14.97,22.6814,14.13,20,6,2.78,ZM,1693630904
155,ust-nera,64.5667,143.2,3.02,81,99,3.36,RU,1693630904
156,sumbe,-11.2061,13.8437,19.92,87,99,0.85,AO,1693630904
157,kapuskasing,49.4169,-82.4331,18.05,59,75,5.66,CA,1693630622
158,thompson,55.7435,-97.8558,21.09,78,40,3.09,CA,1693630905
159,colonia,50.9333,6.95,15.03,92,89,1.68,DE,1693630877
160,bereeda,11.8704,51.0579,30.36,58,3,0.17,SO,1693630906
161,meadow lake,34.8014,-106.5436,26.77,25,100,2.7,US,1693630906
162,acajutla,13.5928,-89.8275,26.01,87,100,3.59,SV,1693630907
163,ben mehidi,36.7697,7.9064,21.99,88,20,1.03,DZ,1693630907
164,guiuan,11.0333,125.7247,29.56,76,79,6.71,PH,1693630907
165,ulsteinvik,62.3432,5.8487,12.64,86,6,0.45,NO,1693630908
166,kununurra,-15.7667,128.7333,32.99,19,31,5.14,AU,1693630731
167,la passe,45.5549,-0.8967,17.13,91,100,3.54,FR,1693630909
168,kidal,18.4411,1.4078,29.04,51,97,4.25,ML,1693630909
169,lisieux,49.1667,0.1667,15.74,94,99,0.99,FR,1693630910
170,sukhinichi,54.0999,35.3425,16.46,90,100,3.95,RU,1693630910
171,syzran',53.1585,48.4681,19.08,52,67,3.58,RU,1693630911
172,ubud,-8.5098,115.2654,26.62,49,17,4.73,ID,1693630911
173,hadibu,12.65,54.0333,27.19,78,37,6.84,YE,1693630912
174,dudinka,69.4058,86.1778,9.82,48,100,1.69,RU,1693630912
175,khilok,51.3674,110.4676,15.72,96,100,1.69,RU,1693630913
176,poxoreo,-15.8372,-54.3892,26.25,52,8,2.4,BR,1693630913
177,glace bay,46.1969,-59.957,11.55,90,20,3.6,CA,1693630913
178,la'ie,21.6477,-157.9253,27.98,76,2,4.92,US,1693630914
179,isla mujeres,21.2311,-86.731,28.98,87,75,4.57,MX,1693630914
180,santa ana,33.7456,-117.8678,23.89,82,75,3.09,US,1693630740
181,poso,-1.3959,120.7524,32.0,49,81,2.62,ID,1693630915
182,atafu village,-8.5421,-172.5159,28.34,79,31,8.55,TK,1693630916
183,pitimbu,-7.4706,-34.8086,23.33,87,9,3.78,BR,1693630916
184,sant antoni de portmany,38.9807,1.3036,25.61,80,75,4.12,ES,1693630917
185,abqaiq,25.9371,49.6776,36.17,18,0,5.15,SA,1693630918
186,brookings,44.3114,-96.7984,25.0,61,0,4.63,US,1693630805
187,leh,34.1667,77.5833,19.02,25,0,2.53,IN,1693630919
188,malanje,-9.5402,16.341,16.43,76,75,1.02,AO,1693630920
189,qaqortoq,60.7167,-46.0333,5.48,65,41,19.28,GL,1693630921
190,nuku'alofa,-21.1333,-175.2,25.19,78,20,4.63,TO,1693630922
191,montepuez,-13.1256,38.9997,20.71,77,34,2.11,MZ,1693630922
192,cidreira,-30.1811,-50.2056,17.12,90,100,7.49,BR,1693630923
193,san patricio,28.017,-97.5169,29.92,63,0,3.43,US,1693630924
194,weno,7.4515,151.8468,27.59,76,96,2.95,FM,1693630925
195,lamu,-2.2717,40.902,26.12,77,58,5.65,KE,1693630926
